,path,res_num,dir_name,tmscore,gdtts
14367,casp8/T0469/native.npz,63,casp8/T0469,1.0,1.0
14455,casp7/T0323/native.npz,217,casp7/T0323,1.0,1.0
14949,casp10/T0716/native.npz,51,casp10/T0716,1.0,1.0
15852,casp9/T0545/native.npz,153,casp9/T0545,1.0,1.0
16429,casp9/T0591/native.npz,396,casp9/T0591,1.0,1.0
17169,casp9/T0596/native.npz,174,casp9/T0596,1.0,1.0
17553,casp9/T0567/native.npz,142,casp9/T0567,1.0,1.0
17792,casp8/T0485/native.npz,218,casp8/T0485,1.0,1.0
18441,casp9/T0638/native.npz,217,casp9/T0638,1.0,1.0
18556,casp9/T0575/native.npz,216,casp9/T0575,1.0,1.0
18610,casp10/T0664/native.npz,498,casp10/T0664,1.0,1.0
18742,casp9/T0590/native.npz,75,casp9/T0590,1.0,1.0
18895,casp10/T0655/native.npz,150,casp10/T0655,1.0,1.0
19170,casp8/T0389/native.npz,134,casp8/T0389,1.0,1.0
19188,casp9/T0568/native.npz,123,casp9/T0568,1.0,1.0
19317,casp8/T0434/native.npz,179,casp8/T0434,1.0,1.0
19459,casp10/T0710/native.npz,194,casp10/T0710,1.0,1.0
19738,casp8/T0418/native.npz,210,casp8/T0418,1.0,1.0
19769,casp8/T0458/native.npz,77,casp8/T0458,1.0,1.0
19986,casp7/T0351/native.npz,56,casp7/T0351,1.0,1.0
20080,casp10/T0706/native.npz,204,casp10/T0706,1.0,1.0
20128,casp10/T0669/native.npz,97,casp10/T0669,1.0,1.0
20248,casp10/T0649/native.npz,184,casp10/T0649,1.0,1.0
20824,casp8/T0510/native.npz,266,casp8/T0510,1.0,1.0
21268,casp7/T0370/native.npz,154,casp7/T0370,1.0,1.0
21313,casp9/T0525/native.npz,205,casp9/T0525,1.0,1.0
22099,casp7/T0304/native.npz,107,casp7/T0304,1.0,1.0
22147,casp10/T0680/native.npz,96,casp10/T0680,1.0,1.0
22337,casp9/T0593/native.npz,195,casp9/T0593,1.0,1.0
23581,casp7/T0290/native.npz,173,casp7/T0290,1.0,1.0
23833,casp10/T0667/native.npz,192,casp10/T0667,1.0,1.0
24355,casp9/T0604/native.npz,534,casp9/T0604,1.0,1.0
24713,casp9/T0603/native.npz,262,casp9/T0603,1.0,1.0
24835,casp9/T0552/native.npz,98,casp9/T0552,1.0,1.0
25005,casp10/T0713/native.npz,374,casp10/T0713,1.0,1.0
25278,casp9/T0592/native.npz,137,casp9/T0592,1.0,1.0
25890,casp7/T0364/native.npz,153,casp7/T0364,1.0,1.0
26850,casp7/T0372/native.npz,298,casp7/T0372,1.0,1.0
26875,casp7/T0306/native.npz,95,casp7/T0306,1.0,1.0
26912,casp7/T0330/native.npz,225,casp7/T0330,1.0,1.0
28182,casp8/T0397/native.npz,150,casp8/T0397,1.0,1.0
28799,casp9/T0628/native.npz,295,casp9/T0628,1.0,1.0
28838,casp7/T0378/native.npz,250,casp7/T0378,1.0,1.0
29339,casp7/T0297/native.npz,211,casp7/T0297,1.0,1.0
29354,casp7/T0350/native.npz,109,casp7/T0350,1.0,1.0
29390,casp8/T0461/native.npz,162,casp8/T0461,1.0,1.0
29520,casp8/T0475/native.npz,122,casp8/T0475,1.0,1.0
29784,casp7/T0382/native.npz,121,casp7/T0382,1.0,1.0
30650,casp7/T0296/native.npz,414,casp7/T0296,1.0,1.0
31168,casp8/T0465/native.npz,121,casp8/T0465,1.0,1.0
31324,casp10/T0668/native.npz,78,casp10/T0668,1.0,1.0
31435,casp8/T0486/native.npz,255,casp8/T0486,1.0,1.0
31694,casp9/T0537/native.npz,339,casp9/T0537,1.0,1.0
31758,casp7/T0301/native.npz,391,casp7/T0301,1.0,1.0
32246,casp9/T0616/native.npz,99,casp9/T0616,1.0,1.0
32437,casp9/T0636/native.npz,321,casp9/T0636,1.0,1.0
32458,casp7/T0288/native.npz,91,casp7/T0288,1.0,1.0
32529,casp10/T0747/native.npz,98,casp10/T0747,1.0,1.0
32579,casp10/T0654/native.npz,137,casp10/T0654,1.0,1.0
32591,casp10/T0734/native.npz,212,casp10/T0734,1.0,1.0
32889,casp8/T0448/native.npz,213,casp8/T0448,1.0,1.0
33015,casp8/T0459/native.npz,109,casp8/T0459,1.0,1.0
33089,casp9/T0559/native.npz,67,casp9/T0559,1.0,1.0
33317,casp10/T0702/native.npz,268,casp10/T0702,1.0,1.0
33838,casp10/T0682/native.npz,203,casp10/T0682,1.0,1.0
34030,casp9/T0558/native.npz,274,casp9/T0558,1.0,1.0
34178,casp7/T0313/native.npz,316,casp7/T0313,1.0,1.0
34216,casp9/T0624/native.npz,69,casp9/T0624,1.0,1.0
34271,casp8/T0387/native.npz,82,casp8/T0387,1.0,1.0
35042,casp9/T0607/native.npz,470,casp9/T0607,1.0,1.0
35230,casp8/T0462/native.npz,142,casp8/T0462,1.0,1.0
35377,casp8/T0392/native.npz,104,casp8/T0392,1.0,1.0
37151,casp7/T0345/native.npz,185,casp7/T0345,1.0,1.0
37341,casp10/T0653/native.npz,383,casp10/T0653,1.0,1.0
37438,casp9/T0542/native.npz,568,casp9/T0542,1.0,1.0
38700,casp10/T0750/native.npz,182,casp10/T0750,1.0,1.0
39376,casp10/T0738/native.npz,249,casp10/T0738,1.0,1.0
39462,casp8/T0497/native.npz,145,casp8/T0497,1.0,1.0
39749,casp9/T0551/native.npz,67,casp9/T0551,1.0,1.0
40198,casp7/T0340/native.npz,90,casp7/T0340,1.0,1.0
40727,casp10/T0672/native.npz,312,casp10/T0672,1.0,1.0
40768,casp9/T0560/native.npz,64,casp9/T0560,1.0,1.0
42296,casp9/T0566/native.npz,152,casp9/T0566,1.0,1.0
42411,casp8/T0441/native.npz,270,casp8/T0441,1.0,1.0
42992,casp8/T0430/native.npz,329,casp8/T0430,1.0,1.0
43194,casp9/T0623/native.npz,220,casp9/T0623,1.0,1.0
43209,casp8/T0504/native.npz,208,casp8/T0504,1.0,1.0
43252,casp7/T0305/native.npz,280,casp7/T0305,1.0,1.0
43594,casp9/T0630/native.npz,99,casp9/T0630,1.0,1.0
43717,casp9/T0629/native.npz,216,casp9/T0629,1.0,1.0
44329,casp9/T0579/native.npz,124,casp9/T0579,1.0,1.0
45610,casp7/T0307/native.npz,132,casp7/T0307,1.0,1.0
45867,casp7/T0339/native.npz,403,casp7/T0339,1.0,1.0
46598,casp8/T0511/native.npz,271,casp8/T0511,1.0,1.0
47195,casp10/T0681/native.npz,191,casp10/T0681,1.0,1.0
47340,casp7/T0327/native.npz,73,casp7/T0327,1.0,1.0
47672,casp10/T0691/native.npz,141,casp10/T0691,1.0,1.0
47803,casp9/T0594/native.npz,140,casp9/T0594,1.0,1.0
48415,casp9/T0632/native.npz,154,casp9/T0632,1.0,1.0
48835,casp9/T0621/native.npz,169,casp9/T0621,1.0,1.0
48947,casp8/T0453/native.npz,87,casp8/T0453,1.0,1.0
49325,casp9/T0580/native.npz,104,casp9/T0580,1.0,1.0
49496,casp8/T0476/native.npz,86,casp8/T0476,1.0,1.0
49571,casp7/T0366/native.npz,84,casp7/T0366,1.0,1.0
49772,casp8/T0435/native.npz,134,casp8/T0435,1.0,1.0
50081,casp9/T0589/native.npz,431,casp9/T0589,1.0,1.0
50264,casp10/T0752/native.npz,148,casp10/T0752,1.0,1.0
50494,casp8/T0394/native.npz,247,casp8/T0394,1.0,1.0
50549,casp8/T0431/native.npz,472,casp8/T0431,1.0,1.0
50631,casp7/T0329/native.npz,239,casp7/T0329,1.0,1.0
50640,casp10/T0705/native.npz,440,casp10/T0705,1.0,1.0
51198,casp7/T0303/native.npz,224,casp7/T0303,1.0,1.0
51237,casp7/T0381/native.npz,250,casp7/T0381,1.0,1.0
52046,casp7/T0291/native.npz,281,casp7/T0291,1.0,1.0
52064,casp8/T0406/native.npz,150,casp8/T0406,1.0,1.0
52153,casp10/T0697/native.npz,458,casp10/T0697,1.0,1.0
52237,casp8/T0512/native.npz,327,casp8/T0512,1.0,1.0
52255,casp9/T0570/native.npz,237,casp9/T0570,1.0,1.0
52569,casp7/T0365/native.npz,214,casp7/T0365,1.0,1.0
53161,casp8/T0480/native.npz,33,casp8/T0480,1.0,1.0
53253,casp7/T0322/native.npz,142,casp7/T0322,1.0,1.0
54053,casp8/T0401/native.npz,132,casp8/T0401,1.0,1.0
55793,casp10/T0714/native.npz,88,casp10/T0714,1.0,1.0
55923,casp7/T0333/native.npz,375,casp7/T0333,1.0,1.0
55999,casp9/T0555/native.npz,147,casp9/T0555,1.0,1.0
56077,casp8/T0423/native.npz,152,casp8/T0423,1.0,1.0
56725,casp8/T0410/native.npz,451,casp8/T0410,1.0,1.0
56935,casp9/T0611/native.npz,203,casp9/T0611,1.0,1.0
57244,casp8/T0416/native.npz,307,casp8/T0416,1.0,1.0
57254,casp9/T0610/native.npz,179,casp9/T0610,1.0,1.0
57348,casp10/T0657/native.npz,133,casp10/T0657,1.0,1.0
57538,casp8/T0513/native.npz,283,casp8/T0513,1.0,1.0
57668,casp8/T0498/native.npz,55,casp8/T0498,1.0,1.0
57680,casp9/T0586/native.npz,119,casp9/T0586,1.0,1.0
58256,casp8/T0482/native.npz,86,casp8/T0482,1.0,1.0
58492,casp9/T0544/native.npz,135,casp9/T0544,1.0,1.0
58621,casp7/T0385/native.npz,142,casp7/T0385,1.0,1.0
59852,casp7/T0375/native.npz,296,casp7/T0375,1.0,1.0
59950,casp9/T0626/native.npz,283,casp9/T0626,1.0,1.0
59991,casp9/T0602/native.npz,97,casp9/T0602,1.0,1.0
60351,casp8/T0474/native.npz,80,casp8/T0474,1.0,1.0
60706,casp8/T0490/native.npz,366,casp8/T0490,1.0,1.0
60843,casp9/T0571/native.npz,315,casp9/T0571,1.0,1.0
61046,casp9/T0548/native.npz,95,casp9/T0548,1.0,1.0
61317,casp10/T0686/native.npz,254,casp10/T0686,1.0,1.0
61581,casp10/T0666/native.npz,180,casp10/T0666,1.0,1.0
61675,casp8/T0477/native.npz,240,casp8/T0477,1.0,1.0
62510,casp10/T0650/native.npz,339,casp10/T0650,1.0,1.0
62746,casp7/T0334/native.npz,526,casp7/T0334,1.0,1.0
62861,casp7/T0285/native.npz,99,casp7/T0285,1.0,1.0
62878,casp8/T0399/native.npz,162,casp8/T0399,1.0,1.0
63268,casp8/T0432/native.npz,130,casp8/T0432,1.0,1.0
63545,casp8/T0414/native.npz,138,casp8/T0414,1.0,1.0
63613,casp10/T0708/native.npz,196,casp10/T0708,1.0,1.0
64085,casp9/T0627/native.npz,244,casp9/T0627,1.0,1.0
64608,casp9/T0597/native.npz,369,casp9/T0597,1.0,1.0
64872,casp8/T0398/native.npz,290,casp8/T0398,1.0,1.0
64921,casp8/T0491/native.npz,98,casp8/T0491,1.0,1.0
65983,casp10/T0731/native.npz,55,casp10/T0731,1.0,1.0
66157,casp9/T0622/native.npz,122,casp9/T0622,1.0,1.0
67147,casp10/T0696/native.npz,100,casp10/T0696,1.0,1.0
67822,casp8/T0429/native.npz,140,casp8/T0429,1.0,1.0
67907,casp9/T0619/native.npz,101,casp9/T0619,1.0,1.0
68087,casp8/T0388/native.npz,174,casp8/T0388,1.0,1.0
68333,casp8/T0395/native.npz,287,casp8/T0395,1.0,1.0
68678,casp9/T0625/native.npz,231,casp9/T0625,1.0,1.0
69410,casp7/T0316/native.npz,364,casp7/T0316,1.0,1.0
69470,casp9/T0581/native.npz,112,casp9/T0581,1.0,1.0
69845,casp9/T0637/native.npz,135,casp9/T0637,1.0,1.0
70062,casp7/T0283/native.npz,112,casp7/T0283,1.0,1.0
70151,casp7/T0320/native.npz,287,casp7/T0320,1.0,1.0
70380,casp10/T0711/native.npz,32,casp10/T0711,1.0,1.0
70906,casp9/T0541/native.npz,106,casp9/T0541,1.0,1.0
71258,casp8/T0503/native.npz,146,casp8/T0503,1.0,1.0
72152,casp7/T0331/native.npz,139,casp7/T0331,1.0,1.0
72697,casp10/T0743/native.npz,114,casp10/T0743,1.0,1.0
72815,casp8/T0424/native.npz,326,casp8/T0424,1.0,1.0
73539,casp9/T0598/native.npz,145,casp9/T0598,1.0,1.0
74683,casp8/T0502/native.npz,98,casp8/T0502,1.0,1.0
75066,casp8/T0493/native.npz,161,casp8/T0493,1.0,1.0
75076,casp7/T0362/native.npz,144,casp7/T0362,1.0,1.0
76212,casp8/T0444/native.npz,272,casp8/T0444,1.0,1.0
76854,casp8/T0433/native.npz,199,casp8/T0433,1.0,1.0
77079,casp9/T0634/native.npz,117,casp9/T0634,1.0,1.0
77089,casp8/T0428/native.npz,229,casp8/T0428,1.0,1.0
77199,casp8/T0421/native.npz,288,casp8/T0421,1.0,1.0
77370,casp8/T0400/native.npz,160,casp8/T0400,1.0,1.0
77446,casp8/T0478/native.npz,264,casp8/T0478,1.0,1.0
77590,casp10/T0683/native.npz,371,casp10/T0683,1.0,1.0
78219,casp9/T0515/native.npz,348,casp9/T0515,1.0,1.0
78231,casp10/T0720/native.npz,198,casp10/T0720,1.0,1.0
78403,casp7/T0353/native.npz,85,casp7/T0353,1.0,1.0
78648,casp8/T0452/native.npz,320,casp8/T0452,1.0,1.0
79433,casp7/T0369/native.npz,147,casp7/T0369,1.0,1.0
79775,casp10/T0685/native.npz,209,casp10/T0685,1.0,1.0
79824,casp9/T0529/native.npz,515,casp9/T0529,1.0,1.0
79977,casp8/T0450/native.npz,496,casp8/T0450,1.0,1.0
79982,casp9/T0533/native.npz,306,casp9/T0533,1.0,1.0
80024,casp8/T0446/native.npz,116,casp8/T0446,1.0,1.0
80150,casp10/T0703/native.npz,272,casp10/T0703,1.0,1.0
80467,casp8/T0487/native.npz,637,casp8/T0487,1.0,1.0
80973,casp7/T0383/native.npz,125,casp7/T0383,1.0,1.0
81357,casp9/T0539/native.npz,81,casp9/T0539,1.0,1.0
82129,casp10/T0684/native.npz,241,casp10/T0684,1.0,1.0
82443,casp8/T0409/native.npz,103,casp8/T0409,1.0,1.0
82792,casp9/T0641/native.npz,295,casp9/T0641,1.0,1.0
83362,casp7/T0360/native.npz,116,casp7/T0360,1.0,1.0
83431,casp8/T0436/native.npz,405,casp8/T0436,1.0,1.0
83500,casp7/T0324/native.npz,207,casp7/T0324,1.0,1.0
84187,casp10/T0652/native.npz,231,casp10/T0652,1.0,1.0
84314,casp7/T0298/native.npz,334,casp7/T0298,1.0,1.0
84966,casp7/T0386/native.npz,291,casp7/T0386,1.0,1.0
85158,casp7/T0346/native.npz,172,casp7/T0346,1.0,1.0
85684,casp7/T0302/native.npz,132,casp7/T0302,1.0,1.0
85747,casp9/T0618/native.npz,158,casp9/T0618,1.0,1.0
85901,casp10/T0676/native.npz,173,casp10/T0676,1.0,1.0
86039,casp10/T0735/native.npz,321,casp10/T0735,1.0,1.0
86136,casp7/T0367/native.npz,125,casp7/T0367,1.0,1.0
86435,casp9/T0550/native.npz,305,casp9/T0550,1.0,1.0
86819,casp9/T0601/native.npz,442,casp9/T0601,1.0,1.0
87386,casp9/T0612/native.npz,109,casp9/T0612,1.0,1.0
87678,casp7/T0374/native.npz,160,casp7/T0374,1.0,1.0
88537,casp9/T0563/native.npz,279,casp9/T0563,1.0,1.0
89091,casp8/T0466/native.npz,91,casp8/T0466,1.0,1.0
89869,casp8/T0499/native.npz,55,casp8/T0499,1.0,1.0
90146,casp10/T0690/native.npz,377,casp10/T0690,1.0,1.0
90509,casp9/T0572/native.npz,88,casp9/T0572,1.0,1.0
91538,casp8/T0415/native.npz,109,casp8/T0415,1.0,1.0
92056,casp9/T0516/native.npz,227,casp9/T0516,1.0,1.0
92194,casp8/T0479/native.npz,125,casp8/T0479,1.0,1.0
93116,casp8/T0449/native.npz,300,casp8/T0449,1.0,1.0
93562,casp7/T0335/native.npz,42,casp7/T0335,1.0,1.0
93784,casp8/T0426/native.npz,262,casp8/T0426,1.0,1.0
93813,casp8/T0440/native.npz,275,casp8/T0440,1.0,1.0
94223,casp8/T0391/native.npz,136,casp8/T0391,1.0,1.0
95077,casp8/T0509/native.npz,211,casp8/T0509,1.0,1.0
95878,casp10/T0722/native.npz,127,casp10/T0722,1.0,1.0
95939,casp9/T0609/native.npz,338,casp9/T0609,1.0,1.0
96231,casp10/T0658/native.npz,521,casp10/T0658,1.0,1.0
96246,casp8/T0472/native.npz,110,casp8/T0472,1.0,1.0
96486,casp7/T0293/native.npz,225,casp7/T0293,1.0,1.0
96501,casp10/T0662/native.npz,76,casp10/T0662,1.0,1.0
97957,casp10/T0717/native.npz,301,casp10/T0717,1.0,1.0
97991,casp7/T0373/native.npz,140,casp7/T0373,1.0,1.0
98015,casp8/T0471/native.npz,88,casp8/T0471,1.0,1.0
99080,casp8/T0460/native.npz,80,casp8/T0460,1.0,1.0
99374,casp10/T0726/native.npz,587,casp10/T0726,1.0,1.0
99624,casp8/T0483/native.npz,285,casp8/T0483,1.0,1.0
99671,casp7/T0317/native.npz,158,casp7/T0317,1.0,1.0
99718,casp8/T0412/native.npz,176,casp8/T0412,1.0,1.0
99966,casp9/T0599/native.npz,374,casp9/T0599,1.0,1.0
100142,casp8/T0425/native.npz,181,casp8/T0425,1.0,1.0
100263,casp8/T0505/native.npz,275,casp8/T0505,1.0,1.0
100618,casp8/T0508/native.npz,174,casp8/T0508,1.0,1.0
101082,casp9/T0578/native.npz,156,casp9/T0578,1.0,1.0
101137,casp8/T0501/native.npz,339,casp8/T0501,1.0,1.0
103037,casp8/T0402/native.npz,124,casp8/T0402,1.0,1.0
103966,casp10/T0689/native.npz,211,casp10/T0689,1.0,1.0
104093,casp10/T0758/native.npz,366,casp10/T0758,1.0,1.0
104211,casp10/T0724/native.npz,234,casp10/T0724,1.0,1.0
104268,casp8/T0442/native.npz,235,casp8/T0442,1.0,1.0
104608,casp9/T0585/native.npz,226,casp9/T0585,1.0,1.0
104867,casp10/T0745/native.npz,178,casp10/T0745,1.0,1.0
105024,casp8/T0470/native.npz,188,casp8/T0470,1.0,1.0
105136,casp7/T0363/native.npz,80,casp7/T0363,1.0,1.0
105395,casp8/T0411/native.npz,120,casp8/T0411,1.0,1.0
106015,casp10/T0712/native.npz,186,casp10/T0712,1.0,1.0
106464,casp10/T0692/native.npz,470,casp10/T0692,1.0,1.0
106503,casp9/T0569/native.npz,79,casp9/T0569,1.0,1.0
106826,casp9/T0608/native.npz,250,casp9/T0608,1.0,1.0
107315,casp7/T0356/native.npz,469,casp7/T0356,1.0,1.0
107649,casp9/T0584/native.npz,338,casp9/T0584,1.0,1.0
107684,casp9/T0531/native.npz,65,casp9/T0531,1.0,1.0
107841,casp7/T0348/native.npz,61,casp7/T0348,1.0,1.0
108135,casp9/T0543/native.npz,783,casp9/T0543,1.0,1.0
108547,casp7/T0300/native.npz,89,casp7/T0300,1.0,1.0
108607,casp9/T0565/native.npz,304,casp9/T0565,1.0,1.0
108797,casp8/T0464/native.npz,69,casp8/T0464,1.0,1.0
110176,casp10/T0755/native.npz,258,casp10/T0755,1.0,1.0
110316,casp10/T0736/native.npz,166,casp10/T0736,1.0,1.0
110639,casp7/T0321/native.npz,244,casp7/T0321,1.0,1.0
110687,casp7/T0295/native.npz,275,casp7/T0295,1.0,1.0
110809,casp8/T0422/native.npz,281,casp8/T0422,1.0,1.0
111182,casp10/T0707/native.npz,321,casp10/T0707,1.0,1.0
111234,casp9/T0532/native.npz,470,casp9/T0532,1.0,1.0
111331,casp8/T0438/native.npz,387,casp8/T0438,1.0,1.0
111596,casp9/T0518/native.npz,256,casp9/T0518,1.0,1.0
111960,casp9/T0549/native.npz,74,casp9/T0549,1.0,1.0
113682,casp10/T0740/native.npz,155,casp10/T0740,1.0,1.0
114010,casp9/T0613/native.npz,285,casp9/T0613,1.0,1.0
114392,casp8/T0407/native.npz,342,casp8/T0407,1.0,1.0
114569,casp7/T0315/native.npz,253,casp7/T0315,1.0,1.0
114963,casp9/T0588/native.npz,381,casp9/T0588,1.0,1.0
115323,casp10/T0742/native.npz,235,casp10/T0742,1.0,1.0
115372,casp8/T0463/native.npz,211,casp8/T0463,1.0,1.0
"('casp10/T0644', 61393)",casp10/T0644/STRINGS_TS5.npz,141,casp10/T0644,0.8370000000000001,0.7961
"('casp10/T0644', 78799)",casp10/T0644/MULTICOM-REFINE_TS2.npz,141,casp10/T0644,0.4254,0.3794
"('casp10/T0644', 59698)",casp10/T0644/PconsM_TS5.npz,141,casp10/T0644,0.3653,0.3298
"('casp10/T0644', 5302)",casp10/T0644/slbio_TS3.npz,141,casp10/T0644,0.8301,0.7606
"('casp10/T0644', 80738)",casp10/T0644/RBO-MBS-BB_TS2.npz,141,casp10/T0644,0.3132,0.25
"('casp10/T0644', 30426)",casp10/T0644/ZHOU-SPARKS-X_TS3.npz,141,casp10/T0644,0.379,0.3085
"('casp10/T0644', 82056)",casp10/T0644/FFAS03hj_TS1.npz,132,casp10/T0644,0.8399,0.7996
"('casp10/T0644', 18717)",casp10/T0644/AOBA-server_TS3.npz,141,casp10/T0644,0.3872,0.36700000000000005
"('casp10/T0644', 93749)",casp10/T0644/Bilab-ENABLE_TS1.npz,141,casp10/T0644,0.8481,0.7855
"('casp10/T0644', 35618)",casp10/T0644/Jiang_Server_TS1.npz,141,casp10/T0644,0.7926,0.7394
"('casp10/T0644', 94602)",casp10/T0644/RaptorX_TS1.npz,141,casp10/T0644,0.8059999999999999,0.7465
"('casp10/T0644', 81320)",casp10/T0644/Atome2_CBS_TS5.npz,139,casp10/T0644,0.8352,0.7748
"('casp10/T0644', 31386)",casp10/T0644/Jiang_Fold_TS1.npz,141,casp10/T0644,0.3752,0.3617
"('casp10/T0644', 23093)",casp10/T0644/MULTICOM-REFINE_TS5.npz,141,casp10/T0644,0.3834,0.3564
"('casp10/T0644', 76872)",casp10/T0644/Distill_roll_TS1.npz,140,casp10/T0644,0.8112,0.7535
"('casp10/T0644', 41080)",casp10/T0644/BAKER-ROSETTASERVER_TS1.npz,141,casp10/T0644,0.8690000000000001,0.8333
"('casp10/T0644', 108923)",casp10/T0644/RBO-i-MBS_TS5.npz,141,casp10/T0644,0.4498,0.3936
"('casp10/T0644', 24765)",casp10/T0644/HHpredA_TS1.npz,141,casp10/T0644,0.8539,0.7961
"('casp10/T0644', 55408)",casp10/T0644/FFAS03hj_TS5.npz,129,casp10/T0644,0.3232,0.3014
"('casp10/T0644', 3393)",casp10/T0644/BhageerathH_TS1.npz,141,casp10/T0644,0.3558,0.3174
"('casp10/T0644', 9352)",casp10/T0644/chunk-TASSER_TS5.npz,141,casp10/T0644,0.8354,0.7837
"('casp10/T0644', 219)",casp10/T0644/MUFOLD-Server_TS5.npz,141,casp10/T0644,0.816,0.75
"('casp10/T0644', 14375)",casp10/T0644/GSmetaserver_TS4.npz,127,casp10/T0644,0.3803,0.3227
"('casp10/T0644', 84607)",casp10/T0644/TASSER-VMT_TS2.npz,141,casp10/T0644,0.7973,0.7216
"('casp10/T0644', 38619)",casp10/T0644/IntFOLD2_TS4.npz,141,casp10/T0644,0.7707,0.7181
"('casp10/T0644', 2411)",casp10/T0644/FALCON-TOPO-X_TS4.npz,128,casp10/T0644,0.373,0.3706
"('casp10/T0644', 80385)",casp10/T0644/MULTICOM-NOVEL_TS2.npz,141,casp10/T0644,0.8263,0.7695
"('casp10/T0644', 79375)",casp10/T0644/STRINGS_TS2.npz,141,casp10/T0644,0.8398,0.805
"('casp10/T0644', 44350)",casp10/T0644/Pcons-net_TS4.npz,141,casp10/T0644,0.3981,0.3475
"('casp10/T0644', 29141)",casp10/T0644/Atome2_CBS_TS1.npz,138,casp10/T0644,0.8358,0.7713
"('casp10/T0644', 44016)",casp10/T0644/RBO-MBS_TS1.npz,141,casp10/T0644,0.3247,0.2784
"('casp10/T0644', 96873)",casp10/T0644/slbio_TS5.npz,141,casp10/T0644,0.8489,0.7996
"('casp10/T0644', 91749)",casp10/T0644/RBO-i-MBS_TS3.npz,141,casp10/T0644,0.4253,0.3387
"('casp10/T0644', 47298)",casp10/T0644/confuzz3d_TS1.npz,141,casp10/T0644,0.1665,0.1241
"('casp10/T0644', 115024)",casp10/T0644/Mufold-MD_TS2.npz,141,casp10/T0644,0.7881,0.7181
"('casp10/T0644', 110084)",casp10/T0644/Jiang_Threader_TS4.npz,141,casp10/T0644,0.1844,0.156
"('casp10/T0644', 77642)",casp10/T0644/PconsM_TS3.npz,141,casp10/T0644,0.4228,0.38299999999999995
"('casp10/T0644', 74610)",casp10/T0644/FFAS03hj_TS2.npz,129,casp10/T0644,0.3531,0.3209
"('casp10/T0644', 73431)",casp10/T0644/ZHOU-SPARKS-X_TS5.npz,141,casp10/T0644,0.2521,0.22699999999999998
"('casp10/T0644', 92396)",casp10/T0644/QUARK_TS4.npz,141,casp10/T0644,0.858,0.8387
"('casp10/T0644', 104337)",casp10/T0644/MUFold_CRF_TS5.npz,62,casp10/T0644,0.3127,0.2908
"('casp10/T0644', 28772)",casp10/T0644/chuo-repack-server_TS2.npz,141,casp10/T0644,0.8312,0.7784
