,Proposed,GDT_TS,target,ProQ3D,ProQ2D,ProQ3,ProQ2,VoroMQA,SBROD,Sato-3DCNN
T0962TS152_1,0.5668532848358154,46.19,T0962,0.52073,0.475657,0.452811,0.465974,0.302029,1.39089012306,0.3313353061676025
T0962TS348_4,0.032862488180398934,24.01,T0962,0.0956193,0.111913,-0.0744441,-0.0588018,0.06380119999999999,1.07781077472,0.009588779881596564
T0962TS149_4,0.5842983722686768,51.27,T0962,0.504088,0.437136,0.450916,0.418565,0.30095,1.24326570155,0.3281884491443634
T0962TS347_1,0.5929276943206787,61.72,T0962,0.565552,0.5153220000000001,0.474453,0.5100020000000001,0.35042,1.3432410013,0.43438202142715454
T0962TS152_5,0.5506296753883362,44.35,T0962,0.542045,0.530258,0.467986,0.478441,0.249937,1.33353872279,0.2410297840833664
T0962TS312_2,0.5166013836860657,47.46,T0962,0.479027,0.415172,0.383702,0.39568,0.248711,1.2865484127200002,0.22518137097358704
T0962TS160_1,0.7532742023468018,73.02,T0962,0.542341,0.530879,0.4657270000000001,0.528942,0.365355,1.39003555007,0.5756351947784424
T0962TS402_4,0.6721137166023254,71.75,T0962,0.586367,0.5367350000000001,0.458369,0.5004310000000001,0.367356,1.3687503299700001,0.5209054350852966
T0962TS282_1,0.5938878655433655,45.48,T0962,0.523533,0.451341,0.477663,0.456618,0.272251,1.35739840725,0.2585759162902832
T0962TS058_3,0.7375938892364502,75.71,T0962,0.599721,0.57445,0.481178,0.53552,0.357975,1.37611193914,0.609696626663208
T0962TS498_3,0.7671088576316833,56.36,T0962,0.551978,0.493608,0.486048,0.507012,0.310138,1.40931903218,0.336940199136734
T0962TS282_4,0.5770825743675232,42.23,T0962,0.53261,0.495611,0.446025,0.483095,0.27861,1.34625141833,0.24288353323936465
T0962TS261_2,0.8076063394546509,76.27,T0962,0.575773,0.5729270000000001,0.540086,0.5733550000000001,0.366572,1.38989006916,0.6611782312393188
T0962TS261_5,0.7999337911605835,78.81,T0962,0.588905,0.593549,0.559743,0.59406,0.346479,1.42748060629,0.6352238059043884
T0962TS164_1,0.7847904562950134,71.33,T0962,0.564563,0.530166,0.485607,0.539986,0.378492,1.3543498168900001,0.5977686047554016
T0962TS402_5,0.6984469294548035,70.76,T0962,0.576565,0.526764,0.478462,0.51479,0.387132,1.34612226069,0.5162501335144043
T0962TS312_4,0.31072214245796204,41.24,T0962,0.398993,0.272997,0.390229,0.271721,0.179545,1.28073919297,0.09427469223737717
T0962TS145_1,0.8065318465232849,76.27,T0962,0.588006,0.5891069999999999,0.559458,0.588179,0.380026,1.4262024189500002,0.6546707153320312
T0962TS324_1,0.8214420676231384,77.83,T0962,0.548588,0.609614,0.57072,0.608612,0.400174,1.37996413287,0.6564107537269592
T0962TS347_5,0.6716398000717163,64.41,T0962,0.600902,0.539998,0.491043,0.523935,0.366019,1.33726431846,0.4475030601024628
T0962TS266_4,0.41665053367614746,42.09,T0962,0.456154,0.398409,0.383925,0.390266,0.28478000000000003,1.2601520407200002,0.2582964599132538
T0962TS149_2,0.6404386162757874,52.97,T0962,0.5178659999999999,0.4521850000000001,0.457499,0.460794,0.322931,1.2783438409999999,0.4103432595729828
T0962TS365_2,0.694664716720581,58.48,T0962,0.522876,0.519234,0.4863560000000001,0.509137,0.335301,1.41043784435,0.6168226599693298
T0962TS149_5,0.6165463328361511,53.81,T0962,0.494999,0.452693,0.418057,0.441592,0.30165,1.26709172963,0.32088157534599304
T0962TS312_5,0.3925407528877258,44.21,T0962,0.418786,0.291039,0.2937,0.286948,0.2194,1.2870167884100001,0.1955244541168213
T0962TS246_1,0.8015638589859009,80.51,T0962,0.580028,0.574448,0.513556,0.576825,0.398899,1.39358024375,0.6176245808601379
T0962TS348_1,0.017832083627581596,25.99,T0962,0.140691,0.15040499999999998,-0.035183099999999995,-0.0211911,0.0728066,1.14828860154,0.007625769358128309
T0962TS156_4,0.7893179655075073,76.84,T0962,0.552625,0.581954,0.5611229999999999,0.5711390000000001,0.394304,1.36213421324,0.6432485580444336
T0962TS041_2,0.074384905397892,22.6,T0962,0.30714400000000003,0.309436,0.199761,0.235813,0.133223,1.2920044870899998,0.047828692942857735
T0962TS312_3,0.5130879282951355,46.47,T0962,0.435255,0.371728,0.372244,0.368903,0.244698,1.26041915154,0.2568220794200897
T0962TS243_2,0.7548985481262207,75.85,T0962,0.579817,0.549529,0.501576,0.549218,0.377226,1.36785626127,0.6052861213684082
T0962TS441_2,0.7086051702499391,75.42,T0962,0.579389,0.5095850000000001,0.470085,0.50797,0.381175,1.37848476241,0.5528384447097778
T0962TS124_5,0.7982589602470398,65.68,T0962,0.6059899999999999,0.627786,0.513112,0.60501,0.347059,1.36969201567,0.5520272850990295
T0962TS282_5,0.21055442094802854,32.2,T0962,0.391132,0.3072,0.353427,0.291667,0.166649,1.2891590421899999,0.14454728364944458
T0962TS156_3,0.7613516449928284,76.98,T0962,0.5228119999999999,0.574124,0.519472,0.5373479999999999,0.385745,1.36285806489,0.6109718084335327
T0962TS407_3,0.3899345099925995,22.18,T0962,0.374156,0.469143,0.472629,0.499206,0.308304,1.3401621521200002,0.2569204866886139
T0962TS004_3,0.5212053656578064,50.14,T0962,0.441543,0.412876,0.421294,0.444578,0.276963,1.25297438785,0.3191843330860138
T0962TS058_5,0.7259915471076965,73.73,T0962,0.5645359999999999,0.529192,0.502223,0.5444899999999999,0.387075,1.32970485518,0.5945972204208374
T0962TS156_1,0.7535831928253174,76.84,T0962,0.538081,0.5839810000000001,0.548786,0.5682159999999999,0.390582,1.36940921069,0.6077188849449158
T0962TS368_5,0.8363834619522095,72.46,T0962,0.633207,0.606024,0.6308819999999999,0.610182,0.420116,1.39841717516,0.6582856774330139
T0962TS348_3,0.016519583761692047,26.13,T0962,0.119323,0.139928,-0.12421,-0.0527005,0.07772130000000001,1.14562171741,0.00783956702798605
T0962TS116_4,0.7679900527000427,76.13,T0962,0.582428,0.572068,0.495595,0.538914,0.366285,1.3500205142700001,0.4989893734455109
T0962TS488_3,0.7229788899421692,69.92,T0962,0.565868,0.5938439999999999,0.587785,0.579723,0.392936,1.3933065734099999,0.6477895379066467
T0962TS282_2,0.5492188930511475,47.17,T0962,0.508055,0.494515,0.4328,0.474388,0.241494,1.37091744263,0.18984465301036835
T0962TS164_3,0.6888967156410217,70.48,T0962,0.589726,0.573577,0.509405,0.564896,0.370628,1.36867727782,0.5665650963783264
T0962TS497_4,0.2808226048946381,33.76,T0962,0.411694,0.380517,0.372015,0.405028,0.199728,1.3228740751299999,0.13572116196155548
T0962TS007_3,0.1807699352502823,28.11,T0962,0.227265,0.188771,0.103999,0.128959,0.17461300000000002,1.15040034555,0.1295524835586548
T0962TS160_5,0.7548744678497314,72.88,T0962,0.613889,0.554344,0.50976,0.552349,0.370715,1.3655746866999998,0.5751439332962036
T0962TS145_3,0.7603500485420227,74.72,T0962,0.603857,0.5895600000000001,0.576805,0.591105,0.351408,1.4056966589500002,0.5828499794006348
T0962TS124_3,0.7904630899429321,68.64,T0962,0.615467,0.6354989999999999,0.541428,0.634698,0.367296,1.37578916444,0.5773695111274719
T0962TS110_1,0.5629691481590271,60.73,T0962,0.447912,0.446041,0.352936,0.404998,0.291943,1.32184961358,0.3281331956386566
T0962TS160_3,0.7506064176559448,75.0,T0962,0.625263,0.5547880000000001,0.506939,0.55082,0.367722,1.3430048997600001,0.5272185802459717
T0962TS246_5,0.7716768980026245,78.81,T0962,0.53846,0.512614,0.434793,0.501221,0.364253,1.3682751859,0.5722180604934692
T0962TS007_5,0.19662271440029144,28.95,T0962,0.264322,0.200499,0.183452,0.147221,0.154245,1.19916131403,0.10550659149885178
T0962TS124_4,0.7706117033958435,67.09,T0962,0.581179,0.599121,0.502354,0.580847,0.382651,1.3783894562,0.5737610459327698
T0962TS152_4,0.5633813142776489,42.66,T0962,0.49545,0.444279,0.434233,0.433204,0.272606,1.3596167035799998,0.2778057157993317
T0962TS498_1,0.7279320359230042,59.04,T0962,0.567904,0.530335,0.508316,0.5458430000000001,0.29991100000000004,1.3783804032499998,0.35246679186820984
T0962TS145_2,0.769667387008667,74.44,T0962,0.593132,0.581078,0.534645,0.5764090000000001,0.34839000000000003,1.39473617649,0.609330952167511
T0962TS116_3,0.7648954987525941,74.01,T0962,0.541516,0.5438,0.457768,0.52175,0.354169,1.35229022004,0.4597028493881226
T0962TS243_1,0.7515742778778076,74.72,T0962,0.6078899999999999,0.568338,0.502866,0.55516,0.364,1.35094576789,0.5395478010177612
T0962TS160_2,0.7440112233161926,72.17,T0962,0.5696220000000001,0.5518569999999999,0.473859,0.546097,0.375467,1.38817247736,0.5366800427436829
T0962TS402_3,0.7007433772087097,71.33,T0962,0.582188,0.519079,0.473042,0.508279,0.367874,1.3587877531600001,0.5537890195846558
T0962TS347_3,0.6133663654327393,55.79,T0962,0.54652,0.493017,0.471188,0.489696,0.361768,1.3512234805,0.36669921875
T0962TS365_5,0.6874171495437622,60.31,T0962,0.620976,0.5928869999999999,0.555737,0.561948,0.325517,1.3589507386500002,0.5756625533103943
T0962TS152_3,0.5674349069595337,44.63,T0962,0.544424,0.485309,0.44872,0.458651,0.296989,1.32809425698,0.2737560570240021
T0962TS004_1,0.772678554058075,74.15,T0962,0.5418810000000001,0.603541,0.577121,0.605677,0.403185,1.42413248685,0.6874061822891235
T0962TS145_5,0.8255234956741333,76.98,T0962,0.628209,0.607096,0.585688,0.622329,0.385314,1.4086872249899998,0.6685109138488771
T0962TS282_3,0.500978946685791,44.77,T0962,0.469376,0.407253,0.403173,0.409547,0.237124,1.3875760185600001,0.2261980772018433
T0962TS488_5,0.3242741525173187,25.85,T0962,0.298117,0.42485,0.450047,0.444178,0.278514,1.32678342296,0.1940068155527115
T0962TS007_4,0.17996340990066528,28.11,T0962,0.237906,0.197376,0.113959,0.141006,0.22076,1.23517342569,0.20466814935207367
T0962TS004_5,0.5943791270256042,46.75,T0962,0.487367,0.426612,0.436933,0.448144,0.260295,1.27513578215,0.29520392417907715
T0962TS266_5,0.438263326883316,41.81,T0962,0.458092,0.404811,0.388552,0.396763,0.281025,1.27269144031,0.2799801528453827
T0962TS498_2,0.7541316747665405,57.91,T0962,0.528418,0.50944,0.484318,0.5272789999999999,0.30437,1.4143481577500001,0.37905600666999817
T0962TS337_5,0.5441566705703735,49.86,T0962,0.466409,0.446803,0.401018,0.424307,0.276064,1.26113793373,0.3128744959831238
T0962TS261_1,0.8247641324996948,77.83,T0962,0.59107,0.58238,0.550714,0.602766,0.381496,1.45204879396,0.6444061398506165
T0962TS085_2,0.5144438743591309,49.58,T0962,0.518566,0.474946,0.440088,0.455382,0.301418,1.2978506244399999,0.34213942289352417
T0962TS164_5,0.7560513615608215,73.73,T0962,0.624704,0.57976,0.5226729999999999,0.571691,0.369124,1.3554684802899999,0.5506159067153931
T0962TS124_2,0.7741208076477051,69.49,T0962,0.613861,0.638366,0.498221,0.5994109999999999,0.35677,1.39672726774,0.5803565979003906
T0962TS110_5,0.5751280784606934,58.48,T0962,0.441697,0.41111,0.331262,0.397283,0.279023,1.31316334916,0.2867768406867981
T0962TS156_5,0.7959614396095276,76.98,T0962,0.557192,0.601024,0.5667449999999999,0.581214,0.398572,1.3725114378299998,0.6436803936958313
T0962TS023_3,0.5315623283386229,46.47,T0962,0.42661,0.390186,0.349647,0.369901,0.290455,1.2582915918000002,0.3056666254997253
T0962TS023_1,0.7515742778778076,74.72,T0962,0.6078899999999999,0.568338,0.502866,0.55516,0.364,1.35094576789,0.5395478010177612
T0962TS488_4,0.6921324133872986,68.64,T0962,0.578104,0.56018,0.578296,0.569415,0.393217,1.32104796071,0.601050078868866
T0962TS407_2,0.3697535693645477,21.75,T0962,0.368639,0.478412,0.4406640000000001,0.51326,0.309105,1.32355992289,0.27915921807289124
T0962TS145_4,0.7784101963043213,72.17,T0962,0.6050260000000001,0.567204,0.529351,0.56302,0.360104,1.40717435489,0.5819228887557983
T0962TS023_2,0.7548985481262207,75.85,T0962,0.579817,0.549529,0.501576,0.549218,0.377226,1.36785626127,0.6052861213684082
T0962TS441_3,0.7211183309555054,72.74,T0962,0.566488,0.481937,0.457494,0.478251,0.380536,1.36108322715,0.5600895881652832
T0962TS110_4,0.5596222877502441,63.98,T0962,0.497738,0.437267,0.411471,0.42371,0.29681,1.31038095007,0.3532089889049529
T0962TS149_3,0.5405578017234802,52.12,T0962,0.4803270000000001,0.427913,0.404291,0.413124,0.273443,1.23731805769,0.2344496697187424
T0962TS246_3,0.7901306748390198,83.05,T0962,0.603021,0.5889989999999999,0.525783,0.5708439999999999,0.36551,1.43530935511,0.5878503918647766
T0962TS058_4,0.7234945297241211,76.27,T0962,0.58423,0.543894,0.451418,0.525645,0.366869,1.3700680031,0.5960090160369873
T0962TS149_1,0.7991418242454529,78.11,T0962,0.6001920000000001,0.580136,0.514844,0.566966,0.367584,1.34507219842,0.5807292461395264
T0962TS498_4,0.7639127969741821,57.2,T0962,0.543856,0.501394,0.4981100000000001,0.531489,0.310285,1.3918779511500001,0.3332136571407318
T0962TS365_4,0.6798251867294312,60.59,T0962,0.546918,0.5330020000000001,0.499829,0.532203,0.331119,1.3891920255,0.4266394674777985
T0962TS004_2,0.7649052143096924,78.67,T0962,0.510268,0.57549,0.534507,0.569272,0.400911,1.3868427728900001,0.6288813948631287
T0962TS085_3,0.6430612802505493,64.97,T0962,0.5312399999999999,0.469834,0.412026,0.470594,0.301683,1.34483844998,0.2978779077529907
T0962TS365_1,0.6924120187759399,61.86,T0962,0.61153,0.57016,0.5027739999999999,0.534205,0.340427,1.37200430216,0.5535466074943542
T0962TS497_2,0.2425968199968338,35.03,T0962,0.347979,0.34176100000000004,0.312971,0.32296,0.208915,1.30447018259,0.12884792685508728
T0962TS497_5,0.2788595855236053,37.43,T0962,0.399863,0.389044,0.366697,0.378976,0.193359,1.33927772639,0.1298716962337494
T0962TS152_2,0.5767715573310852,45.62,T0962,0.54128,0.514137,0.455355,0.47927,0.290526,1.34924036276,0.2859282195568085
T0962TS337_2,0.7056784629821777,76.69,T0962,0.5837899999999999,0.530775,0.4866680000000001,0.497401,0.324433,1.3855422469,0.5231857895851135
T0962TS085_5,0.6025196313858032,66.38,T0962,0.538308,0.480447,0.443691,0.4924560000000001,0.340416,1.33239791469,0.4418256580829621
T0962TS368_2,0.8104469776153564,72.88,T0962,0.6465609999999999,0.646109,0.656302,0.628505,0.412355,1.3307065298,0.6621617674827576
T0962TS402_2,0.6967856884002686,72.6,T0962,0.621703,0.536362,0.499748,0.529929,0.378388,1.34690787345,0.5280541777610779
T0962TS488_2,0.7385635375976562,72.6,T0962,0.592202,0.636243,0.588669,0.6078399999999999,0.395442,1.39318437661,0.6201233863830566
T0962TS441_1,0.7170518636703491,74.86,T0962,0.5744859999999999,0.557938,0.472561,0.538041,0.384966,1.3515074494100001,0.5949057340621948
T0962TS441_5,0.4418129622936249,60.59,T0962,0.421681,0.356363,0.310113,0.34794200000000003,0.311385,1.3714150650999999,0.3795231580734253
T0962TS058_1,0.7515742778778076,74.72,T0962,0.6078899999999999,0.568338,0.502866,0.55516,0.364,1.35094576789,0.5395478010177612
T0962TS368_4,0.772282600402832,73.16,T0962,0.631893,0.59411,0.6260680000000001,0.586266,0.407614,1.39456881736,0.6385381817817688
T0962TS085_4,0.5715378522872925,67.51,T0962,0.555292,0.476155,0.446382,0.498967,0.330942,1.3376531275399999,0.4361014664173126
T0962TS164_4,0.7484094500541687,73.73,T0962,0.6084689999999999,0.5706829999999999,0.51742,0.572044,0.3791,1.36228371994,0.5762766599655151
T0962TS160_4,0.7830302119255066,76.41,T0962,0.612796,0.5859810000000001,0.531613,0.575397,0.379127,1.35256282236,0.5976333618164062
T0962TS085_1,0.5209620594978333,50.0,T0962,0.51564,0.452421,0.423992,0.453971,0.300994,1.30725714066,0.3308201730251312
T0962TS441_4,0.7056784629821777,76.69,T0962,0.5837899999999999,0.530775,0.4866680000000001,0.497401,0.324433,1.3855422469,0.5231857895851135
T0962TS004_4,0.5164061188697815,49.15,T0962,0.487825,0.398326,0.4269600000000001,0.420911,0.263826,1.28146931678,0.3961851596832275
T0962TS007_1,0.5934128761291504,71.05,T0962,0.478241,0.44768,0.371059,0.427012,0.335319,1.3581997632799998,0.4207987487316132
T0962TS402_1,0.7098832726478577,71.75,T0962,0.616546,0.5477069999999999,0.489225,0.525686,0.36977,1.33594330055,0.5061118006706238
T0962TS337_1,0.7211183309555054,72.74,T0962,0.566488,0.481937,0.457494,0.478251,0.380536,1.36108322715,0.5600895881652832
T0962TS365_3,0.6630204916000366,60.73,T0962,0.53984,0.510174,0.514618,0.516796,0.350509,1.3602234881200002,0.5161008238792419
T0962TS116_2,0.7581315636634827,72.17,T0962,0.5666329999999999,0.562077,0.4773689999999999,0.5347270000000001,0.340177,1.35093690303,0.5095740556716919
T0962TS347_2,0.6107940077781677,56.22,T0962,0.5577770000000001,0.5149020000000001,0.445982,0.482171,0.37206,1.34527064294,0.4255407750606537
T0962TS312_1,0.5146161317825317,48.02,T0962,0.493273,0.40158,0.407637,0.409683,0.241538,1.2745260871600002,0.2832077443599701
T0962TS110_2,0.5782288312911987,61.86,T0962,0.5191359999999999,0.45458,0.393468,0.443869,0.26650100000000004,1.3411048372399998,0.2894845902919769
T0962TS498_5,0.7563680410385132,56.92,T0962,0.5461630000000001,0.516412,0.492955,0.531275,0.301115,1.4257970846799999,0.3386613428592682
T0962TS261_3,0.766067624092102,75.28,T0962,0.591279,0.564062,0.512356,0.5647340000000001,0.348195,1.4013945187099999,0.587001621723175
T0980s2TS402_4,0.037625279277563095,31.45,T0980s2,0.26794,0.21243,0.138475,0.07854939999999999,0.265145,1.22027841874,0.277852475643158
T0980s2TS378_3,0.08564949035644531,34.68,T0980s2,0.234302,0.23921199999999998,0.227056,0.330891,0.216515,1.15383411184,0.05117688328027725
T0980s2TS282_4,0.0917288139462471,30.64,T0980s2,0.3632,0.250281,0.34915300000000005,0.381866,0.216302,1.15843818355,0.06117576733231545
T0980s2TS004_5,0.1537626087665558,32.26,T0980s2,0.183442,0.193307,0.114808,0.124187,0.161527,1.08325904551,0.16576768457889554
T0980s2TS365_5,0.04784947633743286,34.68,T0980s2,0.154265,0.0739653,-0.0626145,-0.203897,0.0495081,1.13500125346,0.02120361663401127
T0980s2TS368_5,0.0513269379734993,33.87,T0980s2,0.17736,0.167798,0.248407,0.184515,0.323788,1.20194317378,0.2652904391288757
T0980s2TS337_3,0.0839780941605568,33.06,T0980s2,0.226463,0.251262,0.247826,0.283625,0.21131100000000005,1.16774133861,0.12223605066537856
T0980s2TS023_5,0.09668770432472228,35.48,T0980s2,0.272965,0.286457,0.231811,0.255268,0.178744,1.10841667178,0.07186059653759003
T0980s2TS041_5,0.0651230588555336,28.23,T0980s2,0.225992,0.130962,0.07743530000000001,-0.0414112,0.0918881,1.13965623936,0.03728488087654114
T0980s2TS407_4,0.11614379286766052,33.06,T0980s2,0.255845,0.280436,0.426077,0.462459,0.270451,1.1545143225,0.08303733915090561
T0980s2TS058_2,0.180180624127388,33.06,T0980s2,0.18070999999999998,0.228343,0.335554,0.334419,0.32773,1.1705416677200002,0.20063342154026031
T0980s2TS282_2,0.09310965985059738,29.03,T0980s2,0.251101,0.201781,0.257298,0.171417,0.180945,1.17154913587,0.029501808807253838
T0980s2TS156_1,0.0401308536529541,35.48,T0980s2,0.138684,0.0846447,0.0409358,-0.021417,0.0792883,1.08263282362,0.03715096414089203
T0980s2TS365_1,0.09469731897115707,37.9,T0980s2,0.248388,0.181669,0.183754,0.08505560000000001,0.15053699999999998,1.15856588827,0.07102486491203308
T0980s2TS368_3,0.08868671208620071,34.68,T0980s2,0.33216100000000004,0.31043000000000004,0.42912,0.430301,0.281663,1.1863978925299998,0.06859575212001799
T0980s2TS041_2,0.08794638514518738,32.26,T0980s2,0.2446,0.150253,0.26219000000000003,0.140626,0.0855142,1.1461943345799999,0.0527096726000309
T0980s2TS243_1,0.17941832542419436,33.06,T0980s2,0.22009299999999998,0.244774,0.365734,0.414116,0.310106,1.22351729421,0.28447315096855164
T0980s2TS312_1,0.10955282300710678,35.48,T0980s2,0.377527,0.332388,0.287074,0.267453,0.198599,1.18421480295,0.12026171386241913
T0980s2TS497_3,0.07812848687171936,28.23,T0980s2,0.12835,0.157635,0.0430907,-0.0708961,0.0583224,1.17124845543,0.02696849778294564
T0980s2TS441_3,0.09355095773935318,36.29,T0980s2,0.41785500000000003,0.30422,0.32952600000000004,0.355044,0.166944,1.2047815660899999,0.1338532716035843
T0980s2TS124_2,0.08125515282154082,39.52,T0980s2,0.218336,0.139051,0.102428,0.0755962,0.152747,1.12344523087,0.08719909191131593
T0980s2TS441_4,0.0839780941605568,33.06,T0980s2,0.226463,0.251262,0.247826,0.283625,0.21131100000000005,1.16774133861,0.12223605066537856
T0980s2TS498_1,0.09599339216947557,33.06,T0980s2,0.275483,0.293067,0.400848,0.309357,0.13812,1.13023632204,0.07010810077190399
T0980s2TS149_5,0.06605187803506851,33.06,T0980s2,0.202265,0.194356,0.0898017,0.0375182,0.103642,1.21116943519,0.036325309425592416
T0980s2TS243_3,0.09613335877656937,27.42,T0980s2,0.28741,0.250695,0.26339,0.27215900000000004,0.200909,1.1781552744700001,0.04892680421471597
T0980s2TS160_1,0.09634028375148773,33.06,T0980s2,0.2646,0.197955,0.263043,0.254056,0.296536,1.19582147055,0.2303820252418518
T0980s2TS156_5,0.04523530974984169,33.87,T0980s2,0.301603,0.221034,0.272907,0.209781,0.1405,1.1376118714399999,0.053410597145557404
T0980s2TS312_2,0.09685686975717543,33.06,T0980s2,0.284873,0.229548,0.169483,0.118898,0.149064,1.18475589191,0.06459588557481766
T0980s2TS368_4,0.14737045764923096,33.06,T0980s2,0.277621,0.27150100000000005,0.436423,0.392481,0.288533,1.1961978089,0.04927925392985344
T0980s2TS365_2,0.04884691908955574,35.48,T0980s2,0.29472800000000005,0.17548699999999998,0.239736,0.168095,0.145994,1.13125818095,0.09857650846242903
T0980s2TS041_1,0.06857526302337646,34.68,T0980s2,0.246614,0.202784,0.188796,0.075077,0.122372,1.18392314044,0.05081307142972946
T0980s2TS378_2,0.14318910241127014,32.26,T0980s2,0.27351,0.22393600000000002,0.292933,0.258593,0.214714,1.12281099156,0.05326678976416588
T0980s2TS085_4,0.0760740116238594,32.26,T0980s2,0.253157,0.22720500000000002,0.292351,0.309779,0.330252,1.20154028935,0.1851787865161896
T0980s2TS337_5,0.06392823159694673,40.32,T0980s2,0.304715,0.224735,0.214589,0.183891,0.148561,1.10837988877,0.09689923375844957
T0980s2TS124_5,0.06033854931592941,40.32,T0980s2,0.231987,0.153322,0.164345,0.129393,0.188153,1.1584867863700001,0.07556178420782089
T0980s2TS160_3,0.0569739006459713,30.64,T0980s2,0.13589,0.128598,-0.0867528,0.000734442,0.15654500000000002,1.1227330284100001,0.07251477241516112
T0980s2TS470_1,0.008192194625735283,31.45,T0980s2,0.110546,0.0914185,-0.103786,-0.14439000000000002,0.0594533,1.06878060912,0.014963045716285706
T0980s2TS007_2,0.07108335942029953,39.52,T0980s2,0.10978199999999999,0.146253,0.0810188,-0.038973900000000006,0.120302,1.1555563666600002,0.20911350846290588
T0980s2TS441_1,0.10358624160289764,30.64,T0980s2,0.335438,0.249009,0.257775,0.238625,0.22180100000000005,1.13063316869,0.10963685065507887
T0980s2TS116_3,0.13115066289901733,28.23,T0980s2,0.16244,0.13619,-0.00658213,0.039963,0.112027,1.12125908963,0.03632861003279686
T0980s2TS368_1,0.1631247252225876,36.29,T0980s2,0.384454,0.321752,0.51276,0.464863,0.327927,1.14297007396,0.2049616277217865
T0980s2TS488_3,0.2548094093799591,33.06,T0980s2,0.356668,0.331488,0.532277,0.48811,0.354405,1.21279524249,0.09402138739824296
T0980s2TS261_5,0.1954149156808853,33.06,T0980s2,0.292252,0.29591,0.344564,0.327921,0.282215,1.2924469166099999,0.12275015562772752
T0980s2TS152_1,0.015169068239629269,30.64,T0980s2,0.136021,0.135653,-0.0284141,-0.129704,0.049894,1.1746121765100002,0.03711798042058945
T0980s2TS488_4,0.2001070082187653,33.06,T0980s2,0.349624,0.30448200000000003,0.483885,0.431028,0.359306,1.17288371484,0.08145478367805481
